vertices, Dijkstra on Graphl, Improved Dijkstra on Graphl, Dijkstra on Graphm, Improved Dijkstra on Graphm, Improved Dijkstra Speedup with Graphl, Improved Dijkstra Speedup with Graphm
100, 0.000656, 5.5e-05, 2e-06, 4.2e-05, 11.9273, 0.047619
200, 0.005379, 0.000181, 6e-06, 0.000193, 29.7182, 0.0310881
300, 0.017869, 0.000392, 8e-06, 0.000462, 45.5842, 0.017316
400, 0.039307, 0.00056, 1e-05, 0.000553, 70.1911, 0.0180832
500, 0.073893, 0.000993, 1.1e-05, 0.000916, 74.4139, 0.0120087
600, 0.116308, 0.00144, 1.3e-05, 0.001281, 80.7694, 0.0101483
700, 0.188517, 0.001864, 1.5e-05, 0.001674, 101.136, 0.00896057
800, 0.265587, 0.002353, 1.6e-05, 0.002447, 112.872, 0.00653862
900, 0.370266, 0.00325, 1.7e-05, 0.003433, 113.928, 0.00495194
1000, 0.498683, 0.003647, 2e-05, 0.003703, 136.738, 0.00540103
1100, 0.664087, 0.004055, 2e-05, 0.0041, 163.77, 0.00487805
1200, 0.858797, 0.005151, 2.1e-05, 0.004863, 166.724, 0.00431832
1300, 1.1726, 0.0062, 2.3e-05, 0.005828, 189.129, 0.00394647
