vertices, Dijkstra on Graphl, Improved Dijkstra on Graphl, Dijkstra on Graphm, Improved Dijkstra on Graphm, Improved Dijkstra Speedup with Graphl, Improved Dijkstra Speedup with Graphm
1000, 1.03e-05, 1.38e-05, 1.53e-05, 1.58e-05, 0.746377, 0.968354
2000, 1.91e-05, 3.5e-06, 2.05e-05, 2.53e-05, 5.45714, 0.810277
3000, 2.97e-05, 3.58e-05, 3.03e-05, 3.79e-05, 0.829609, 0.799472
4000, 3.77e-05, 6.9e-06, 3.94e-05, 6.1e-06, 5.46377, 6.45902
5000, 5.1e-05, 7.9e-06, 5.87e-05, 1.44e-05, 6.4557, 4.07639
6000, 6.38e-05, 1.2e-05, 5.88e-05, 1.37e-05, 5.31667, 4.29197
7000, 6.44e-05, 1.22e-05, 8.48e-05, 1.63e-05, 5.27869, 5.20245
8000, 7.42e-05, 1.88e-05, 8.17e-05, 5.94e-05, 3.94681, 1.37542
9000, 9.56e-05, 8.11e-05, 8.85e-05, 8.45e-05, 1.17879, 1.04734
10000, 9.25e-05, 8.56e-05, 0.0001173, 0.0001077, 1.08061, 1.08914
11000, 0.0001009, 9.69e-05, 0.0001379, 0.0001203, 1.04128, 1.1463
12000, 0.0001685, 0.0001611, 0.000189, 0.0001602, 1.04593, 1.17978
13000, 0.0001857, 0.0001688, 0.0001745, 0.0001621, 1.10012, 1.0765
14000, 0.000155, 0.0001391, 0.0001356, 0.0001221, 1.11431, 1.11057
15000, 0.0001659, 0.0001514, 0.0001816, 0.0001551, 1.09577, 1.17086
16000, 0.0001468, 0.0001447, 0.0001587, 0.0001402, 1.01451, 1.13195
17000, 0.0001877, 0.0001705, 0.0002022, 0.0001717, 1.10088, 1.17764
18000, 0.0001995, 0.0001782, 0.0002177, 0.0001942, 1.11953, 1.12101
19000, 0.0001738, 0.0001618, 0.0001891, 0.0001633, 1.07417, 1.15799
20000, 0.0002182, 0.0002104, 0.0002692, 0.0002364, 1.03707, 1.13875
21000, 0.0001923, 0.0001768, 0.0002486, 0.0002167, 1.08767, 1.14721
22000, 0.0002023, 0.0001804, 0.0002659, 0.0002232, 1.1214, 1.19131
23000, 0.0002103, 0.0001901, 0.0003203, 0.0002697, 1.10626, 1.18762
24000, 0.0002207, 0.0002049, 0.0002677, 0.0002731, 1.07711, 0.980227
25000, 0.000231, 0.0002113, 0.0002995, 0.0002687, 1.09323, 1.11463
26000, 0.0002767, 0.0002498, 0.0003417, 0.0002917, 1.10769, 1.17141
27000, 0.0002574, 0.0002357, 0.0003329, 0.0002861, 1.09207, 1.16358
28000, 0.0002923, 0.000284, 0.0003543, 0.0003001, 1.02923, 1.18061
29000, 0.0003079, 0.0003653, 0.0003576, 0.0002797, 0.842869, 1.27851
30000, 0.0002722, 0.0002363, 0.0003391, 0.0002537, 1.15193, 1.33662
31000, 0.0002825, 0.0002482, 0.0003931, 0.0002954, 1.1382, 1.33074
32000, 0.000296, 0.0002762, 0.0003624, 0.0002648, 1.07169, 1.36858
33000, 0.0003427, 0.0002981, 0.0004425, 0.0032269, 1.14961, 0.137129
34000, 0.000398, 0.0003512, 0.0005396, 0.0043647, 1.13326, 0.123628
35000, 0.0003194, 0.0002947, 0.0004716, 0.0036774, 1.08381, 0.128243
