vertices, Dijkstra on Graphl, Improved Dijkstra on Graphl, Dijkstra on Graphm, Improved Dijkstra on Graphm, Improved Dijkstra Speedup with Graphl, Improved Dijkstra Speedup with Graphm
1000, 1.02e-05, 5.2e-06, 1.04e-05, 6.1e-06, 1.96154, 1.70492
2000, 2.58e-05, 2.4e-06, 2.32e-05, 1.64e-05, 10.75, 1.41463
3000, 6.52e-05, 1.66e-05, 3.02e-05, 4.2e-06, 3.92771, 7.19048
4000, 3.77e-05, 5.2e-06, 3.94e-05, 3.5e-06, 7.25, 11.2571
5000, 5.58e-05, 2.38e-05, 5.44e-05, 6.9e-06, 2.34454, 7.88406
6000, 5.64e-05, 4.5e-06, 5.94e-05, 2.19e-05, 12.5333, 2.71233
7000, 7.89e-05, 7e-06, 8.52e-05, 1.13e-05, 11.2714, 7.53982
8000, 7.4e-05, 6.3e-06, 7.87e-05, 3.12e-05, 11.746, 2.52244
9000, 8.29e-05, 6.5e-06, 8.79e-05, 3.63e-05, 12.7538, 2.42149
10000, 9.23e-05, 7.6e-06, 9.63e-05, 7.9e-06, 12.1447, 12.1899
11000, 0.000101, 3.96e-05, 0.0001324, 5.33e-05, 2.55051, 2.48405
12000, 0.0001109, 1.05e-05, 0.0001187, 4.96e-05, 10.5619, 2.39315
13000, 0.000119, 4.81e-05, 0.0001274, 9.5e-06, 2.47401, 13.4105
14000, 0.0001287, 1.05e-05, 0.000138, 1.18e-05, 12.2571, 11.6949
15000, 0.0001381, 1.1e-05, 0.0002016, 5.84e-05, 12.5545, 3.45205
16000, 0.0001644, 5.2e-05, 0.0001536, 5.61e-05, 3.16154, 2.73797
17000, 0.0001563, 6.58e-05, 0.0001623, 6.71e-05, 2.37538, 2.41878
18000, 0.0001987, 8.05e-05, 0.0001718, 6.99e-05, 2.46832, 2.4578
19000, 0.0002095, 9.34e-05, 0.0001816, 7.45e-05, 2.24304, 2.43758
20000, 0.0001824, 7.83e-05, 0.0002994, 0.0001122, 2.3295, 2.66845
21000, 0.0002282, 9.61e-05, 0.0002006, 8e-05, 2.37461, 2.5075
22000, 0.0002007, 8.48e-05, 0.0002159, 8.91e-05, 2.36675, 2.42312
23000, 0.0002317, 9.81e-05, 0.0002198, 9.72e-05, 2.36188, 2.26132
24000, 0.0002388, 9.89e-05, 0.0002294, 0.0001092, 2.41456, 2.10073
25000, 0.0003235, 0.0001444, 0.0002387, 0.0001068, 2.2403, 2.23502
26000, 0.0002437, 0.0001067, 0.000253, 0.0001101, 2.28397, 2.29791
27000, 0.0005179, 0.0001097, 0.0002615, 0.0001093, 4.72106, 2.3925
28000, 0.0002555, 0.0001091, 0.000278, 0.0001147, 2.34189, 2.42371
29000, 0.0005535, 0.0001152, 0.0002828, 0.0001182, 4.80469, 2.39255
30000, 0.0006519, 0.000171, 0.0003118, 0.0001263, 3.81228, 2.46873
31000, 0.0002838, 0.0001319, 0.0004258, 0.0001838, 2.15163, 2.31665
32000, 0.0003371, 0.0001484, 0.0003827, 0.0001481, 2.27156, 2.58406
33000, 0.0003029, 0.000134, 0.0005175, 0.0031748, 2.26045, 0.163002
34000, 0.0003114, 0.0001399, 0.0004761, 0.003028, 2.22588, 0.157232
35000, 0.0003193, 0.0001394, 0.000485, 0.0032315, 2.29053, 0.150085
